嘉定区11号线城北路站D地块工地,31.44302842448468,31.44302842448468,道路
嘉定区万镇路1177弄,31.25858974730207,31.25858974730207,楼号
嘉定区三里村,31.459292606856256,31.459292606856256,村庄
嘉定区世盛路777号,31.407023868238745,31.407023868238745,门址
嘉定区东大小区,31.394446690774465,31.394446690774465,地产小区
嘉定区东大街214弄,31.39395114200909,31.39395114200909,门址
嘉定区东宝路88弄,31.33691163976037,31.33691163976037,门址
嘉定区东环路129弄,31.326076041982596,31.326076041982596,门址
嘉定区东环路351号工地,31.33059729293129,31.33059729293129,道路
嘉定区东街村,31.277217592834205,31.277217592834205,村庄
嘉定区中佳路29弄,31.30233190442527,31.30233190442527,门址
嘉定区中大街104弄,31.435399979989963,31.435399979989963,道路
嘉定区中大街128号,31.435399979989963,31.435399979989963,道路
嘉定区中大街140弄,31.435399979989963,31.435399979989963,道路
嘉定区中大街20号,31.435757535209284,31.435757535209284,门址
嘉定区中泉路129弄,31.370322427648674,31.370322427648674,门址
嘉定区丰功路555号,31.35342583543492,31.35342583543492,门址
嘉定区丰功路888号,31.350850390650596,31.350850390650596,门址
嘉定区丰功路968号,31.349731022134925,31.349731022134925,门址
嘉定区丰功路999号,31.347923998822903,31.347923998822903,门址
嘉定区丰华公路1469弄,31.2395825907858,31.2395825907858,NoClass
嘉定区丰华公路1580号,31.25604232151107,31.25604232151107,道路
嘉定区丰华公路1580弄,31.25604232151107,31.25604232151107,道路
嘉定区丰年路1000号,31.359015152063037,31.359015152063037,门址
嘉定区丰年路88弄,31.366838105363808,31.366838105363808,门址
嘉定区丰庄一村,31.25425084744705,31.25425084744705,地产小区
嘉定区丰庄三队,31.24935890574355,31.24935890574355,村庄
嘉定区丰庄二村,31.251334853440284,31.251334853440284,地产小区
嘉定区丰庄北路151弄,31.25619420124695,31.25619420124695,楼号
嘉定区丰庄北路166弄,31.255543848631632,31.255543848631632,门址
嘉定区丰庄北路355号,31.255259226293795,31.255259226293795,道路
嘉定区丰庄北路355弄,31.256003348266702,31.256003348266702,楼号
嘉定区丰庄北路375号,31.255402000622567,31.255402000622567,门址
嘉定区丰庄北路375弄,31.255493993479963,31.255493993479963,门址
嘉定区丰庄北路431号,31.255188070573922,31.255188070573922,门址
嘉定区丰庄北路477弄,31.255140067443804,31.255140067443804,门址
嘉定区丰庄北路480弄,31.252044585259213,31.252044585259213,地产小区
嘉定区丰庄北路499弄,31.254985870727214,31.254985870727214,地产小区
嘉定区丰庄北路5弄,31.3801553396772,31.3801553396772,区县
嘉定区丰庄北路603号,31.254923589999308,31.254923589999308,门址
嘉定区丰庄北路82弄,31.255737635199242,31.255737635199242,门址
嘉定区丰庄西路 433弄,31.25283766328791,31.25283766328791,楼号
嘉定区丰庄西路395号,31.250303124066562,31.250303124066562,门址
嘉定区丰庄西路433弄,31.25283766328791,31.25283766328791,楼号
嘉定区丰庄西路460弄,31.251543698530206,31.251543698530206,门址
嘉定区丰庄西路480弄,31.25220951455477,31.25220951455477,门址
嘉定区丰庄西路551弄,31.253962902585243,31.253962902585243,门址
嘉定区丰庄西路558弄,31.25193584135767,31.25193584135767,门址
嘉定区丰庄路268弄,31.249525923639876,31.249525923639876,门址
嘉定区丰庄路295号,31.2512608391224,31.2512608391224,门址
嘉定区丰庄路301弄,31.250968563031726,31.250968563031726,门址
嘉定区丰庄路375弄,31.253058467485648,31.253058467485648,道路
嘉定区丰庄路399弄,31.253738473222356,31.253738473222356,门址
嘉定区丰庄路450弄,31.254291519297883,31.254291519297883,楼号
嘉定区丰庄路452号,31.2548922566806,31.2548922566806,门址
嘉定区丰庄路480弄,31.251334853440284,31.251334853440284,地产小区
嘉定区丰庄路540号,31.255803774130968,31.255803774130968,门址
嘉定区丰庄路550弄,31.256561860317504,31.256561860317504,门址
嘉定区丰庄路99弄,31.24921967248179,31.24921967248179,门址
嘉定区丰江路128弄,31.259625016265332,31.259625016265332,地产小区
嘉定区丰江路188弄,31.261007457101268,31.261007457101268,NoClass
嘉定区丰江路373号,31.26030165189509,31.26030165189509,道路
嘉定区丰登路1028弄,31.364079183127185,31.364079183127185,门址
嘉定区丰登路1042号,31.36350782447662,31.36350782447662,门址
嘉定区丰登路1551弄,31.357896883873607,31.357896883873607,门址
嘉定区丰翔支路68号,31.31245551828799,31.31245551828799,门址
嘉定区丰翔支路88号,31.311912303423007,31.311912303423007,门址
嘉定区丰翔路2751号,31.31025803540147,31.31025803540147,门址
嘉定区丰翔路2755号,31.30884261335708,31.30884261335708,门址
嘉定区丰翔路2800号,31.311322422332044,31.311322422332044,门址
嘉定区丰翔路3055弄,31.306787741136425,31.306787741136425,政府机构
嘉定区丰翔路3109弄,31.305390855718723,31.305390855718723,门址
嘉定区丰翔路3133号,31.304658234563277,31.304658234563277,门址
嘉定区丰茂路888号,31.3550367821058,31.3550367821058,门址
嘉定区丰饶路505号,31.360960872773617,31.360960872773617,门址
嘉定区临夏路1000弄,31.265733266710026,31.265733266710026,门址
嘉定区临夏路1004号,31.265714129360802,31.265714129360802,门址
嘉定区临夏路1012号,31.265741677882435,31.265741677882435,门址
嘉定区临夏路1016号,31.265804105734755,31.265804105734755,门址
嘉定区临夏路110号,31.263922300508657,31.263922300508657,门址
嘉定区临夏路256号,31.265983826723186,31.265983826723186,门址
嘉定区临夏路256弄,31.265659726794194,31.265659726794194,NoClass
嘉定区临夏路763号,31.263174228804672,31.263174228804672,门址
嘉定区临夏路789号,31.2632796413755,31.2632796413755,门址
嘉定区临夏路800弄,31.263961656291773,31.263961656291773,门址
